category,question,options,answer,stimulus,stimulus_warning
"mathematics","Using the definition of the derivative, find f'(x) for f(x) = x^(1/3)","1/3 x^(-2/3),1/3 x^(2/3),x^(-1/3),1/x^(2/3)","1",
"mathematics","Find the sum of the infinite series: S = 3 + 3/2 + 3/4 + 3/8 + ...","3,6,9,∞","2",
"mathematics","If f(x) = cos(x), then the second derivative f''(x) is:","cos(x),-cos(x),-sin(x),sin(x)","2",
"english","Which sentence best encapsulates the primary argument of the passage?","The passage argues that technology has made traditional truths obsolete by replacing them with a chaotic collection of fleeting images and data.,The passage contends that while technological progress has blurred the line between reality and virtuality. It also mirrors an evolving human spirit that seeks meaning in both solitary and shared experiences.,The passage suggests that modern technology has completely eroded any sense of collective narrative leaving only isolated moments of insight.,The passage maintains that the rapid pace of information flow has rendered all previous conceptions of truth irrelevant in today's digital era.","2","In the ephemeral twilight of a digital age. The boundaries between reality and virtuality blur as technology pervades every facet of human existence. The world has become a mosaic of fleeting images and transient data. The immediacy of information often obsuring the deeper enduring narratives of life. In such a landscape the quest for meaning becomes both a solitary pilgrimage and a collective odyssey—a pursuit marked by the exhilaration of sudden insights and the melancholy of inevitable loss. This transformation is not solely propelled by technological progress but is also a vivid reflection of an evolving human spirit that adapts. Rebels. Continually redefines its destiny. As objective truths yield to subjective interpretations. What we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best explains the phrase 'dynamic interplay of individual perceptions and shared experiences' as used in the passage?","It means that every individual's view is static and rarely changes even when society evolves,It indicates that personal interpretations and communal narratives constantly interact to reshape what is considered true,It implies that technology forces everyone to adopt the same perspective. Eliminating individual viewpoints,It suggests that once a truth is established. It remains unchallenged despite the influence of digital media","2","As objective truths yield to subjective interpretations, what we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which of the following best describes the tone of the passage?","The tone is celebratory and uncritically optimistic about technological advancements.,The tone is melancholic and reflective emphasizing both the excitement and the sorrow inherent in modern transformation.,The tone is dismissive of technological change portraying it as a temporary distraction from timeless truths.,The tone is ironic mocking the idea that subjective perceptions can alter objective reality.","2","In the ephemeral twilight of a digital age, the boundaries between reality and virtuality blur as technology pervades every facet of human existence. The world has become a mosaic of fleeting images and transient data, where the immediacy of information often obscures the deeper, enduring narratives of life. In such a landscape, the quest for meaning becomes both a solitary pilgrimage and a collective odyssey—a pursuit marked by the exhilaration of sudden insights and the melancholy of inevitable loss. This transformation is not solely propelled by technological progress, but is also a vivid reflection of an evolving human spirit that adapts, rebels, and continually redefines its destiny. As objective truths yield to subjective interpretations, what we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best clarifies how the passage views the role of technology in shaping modern narratives?","The passage suggests that technology is the sole architect of modern narratives completely replacing traditional storytelling.,The passage implies that technology is a neutral tool that neither enhances nor diminishes the search for meaning.,The passage argues that technology while transformative is only one facet of a broader evolution in human experience that redefines truth.,The passage contends that technology has entirely disrupted the human spirit leaving no room for traditional values.","3","In the ephemeral twilight of a digital age, the boundaries between reality and virtuality blur as technology pervades every facet of human existence. The world has become a mosaic of fleeting images and transient data, where the immediacy of information often obscures the deeper, enduring narratives of life. In such a landscape, the quest for meaning becomes both a solitary pilgrimage and a collective odyssey—a pursuit marked by the exhilaration of sudden insights and the melancholy of inevitable loss. This transformation is not solely propelled by technological progress, but is also a vivid reflection of an evolving human spirit that adapts, rebels, and continually redefines its destiny. As objective truths yield to subjective interpretations, what we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best illustrates the contrast between objective and subjective truth as outlined in the passage?","The passage contrasts objective truth with subjective interpretation by asserting that immutable facts now dominate human experience.,The passage draws a clear line between objective reality and subjective opinion suggesting that only collective memories hold value.,The passage differentiates objective truth from subjective perception by arguing that in today's digital landscape individual views continuously reshape what is accepted as truth.,The passage denies any real difference between objective and subjective truths claiming that all truths are equally fixed.","3","In the ephemeral twilight of a digital age, the boundaries between reality and virtuality blur as technology pervades every facet of human existence. The world has become a mosaic of fleeting images and transient data, where the immediacy of information often obscures the deeper, enduring narratives of life. In such a landscape, the quest for meaning becomes both a solitary pilgrimage and a collective odyssey—a pursuit marked by the exhilaration of sudden insights and the melancholy of inevitable loss. This transformation is not solely propelled by technological progress, but is also a vivid reflection of an evolving human spirit that adapts, rebels, and continually redefines its destiny. As objective truths yield to subjective interpretations, what we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best completes the author's reflection on human identity in the digital age?","Ultimately the passage asserts that human identity is rendered irrelevant by the overwhelming force of digital data.,Ultimately the passage suggests that human identity is enriched by the constant negotiation between personal experience and the shared digital narrative.,Ultimately the passage concludes that individual identity must surrender to collective norms in order to survive in the modern era.,Ultimately the passage contends that technological change has simplified human identity to a series of predictable patterns.","2","In the ephemeral twilight of a digital age, the boundaries between reality and virtuality blur as technology pervades every facet of human existence. The world has become a mosaic of fleeting images and transient data, where the immediacy of information often obscures the deeper, enduring narratives of life. In such a landscape, the quest for meaning becomes both a solitary pilgrimage and a collective odyssey—a pursuit marked by the exhilaration of sudden insights and the melancholy of inevitable loss. This transformation is not solely propelled by technological progress, but is also a vivid reflection of an evolving human spirit that adapts, rebels, and continually redefines its destiny. As objective truths yield to subjective interpretations, what we once considered immutable now dissolves into a dynamic interplay of individual perceptions and shared experiences.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best describes the mood created by the poetic imagery?","The poem evokes a mood of vibrant celebration and youthful exuberance capturing the essence of a lively urban night.,The poem creates a serene yet melancholic atmosphere where the quiet mystery of the night deepens the sense of lost love and faded memory.,The poem conveys a mood of aggressive defiance and unyielding strength marked by the relentless passage of time.,The poem establishes a mood of stark isolation and despair with imagery that leaves no room for hope.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best explains the symbolic role of natural imagery in the poem?","The natural imagery serves as a mere decorative backdrop with no deeper connection to the human experience.,The natural elements symbolize the eternal cycle of life and decay mirroring the fleeting nature of human emotions and memories.,The natural imagery is used to criticize the artificiality of modern urban life and its disconnect from true beauty.,The natural elements are depicted in literal terms describing an unembellished scene without any metaphorical significance.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best analyzes how the poem's structure contributes to its overall effect?","The poem's irregular structure and lack of rhyme create a jarring effect that disrupts the reader's emotional engagement.,The poem's consistent use of couplets and rhythmic sound devices enhances its musical quality drawing attention to the interplay between memory and time.,The poem abandons all traditional structure in favor of a chaotic arrangement symbolizing the disintegration of past narratives.,The poem employs a rigid monotonous structure that detracts from its thematic complexity and emotional resonance.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best captures the effect of the metaphorical language used in the excerpt?","The use of metaphor in the poem serves to overcomplicate the narrative leaving the reader confused about the central theme.,The metaphorical language transforms ordinary natural elements into powerful symbols of timeless love and sorrow deepening the reader's emotional response.,The metaphors in the poem are simplistic and literal failing to evoke any significant imagery or emotional depth.,The poem relies on metaphors solely for decorative purposes without contributing to its overall meaning.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best identifies the central theme of the poem?","The poem's central theme is the relentless passage of time which erodes all forms of beauty and love without exception.,The poem explores the tension between memory and oblivion using the quiet majesty of the night to evoke a sense of bittersweet longing for what once was.,The poem's theme centers on the celebration of life's fleeting moments urging readers to embrace every joyful experience without reservation.,The poem communicates a message of despair and futility where every image reinforces the inevitability of loss and isolation.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","Which sentence best explains how the poet's diction contributes to the tone of the piece?","The poet's use of colloquial language and informal diction creates an approachable tone that undermines the poem's deeper themes.,The poet's refined diction and carefully chosen words imbue the poem with a sense of ancient sorrow and reflective nostalgia that resonates throughout each line.,The poet employs overly ornate language that distracts from the central narrative resulting in an impenetrable and inaccessible tone.,The poem's diction is characterized by simplicity and directness which contrasts sharply with its otherwise elaborate imagery.","2","Beneath the bruised heavens at dusk's retreat, The murmuring winds caress the silent streets; In shadows deep, where secrets softly keep, A lone figure wanders, where lost memory meets. The night, adorned with stars like scattered gold, Whispers ancient verses in a language old; Each breath of air, a tale of love untold, And every sigh, a promise once foretold.","This question uses the following stimulus. Use it to answer the following question."
"english","The ancient manor, shrouded in mist and memory, stood as a silent witness to the passage of time. Its crumbling walls and overgrown gardens were not mere relics of decay but vivid symbols of a bygone era, where every stone whispered tales of love, betrayal, and unfulfilled dreams. The manor's grandeur had long faded, yet its presence loomed large in the hearts of those who remembered its past glory. _____","This decay however. Depicted as a trivial detail hardly worth noting amid the splendor of modern achievements.,By comparing the manor to a living archive the narrative transforms it into a metaphor for the inescapable imprint of history on the present.,The passage dismisses the importance of the manor. Suggesting that physical structures have no bearing on emotional memory.,The narrative implies that only the manor's physical deterioration matters without any symbolic undertones.","2","","This question requires you to fill in the blank with the most appropriate sentence."
"english","In the depths of winter, when even the wind seemed to mourn, the barren trees stood as stoic sentinels against the onslaught of cold. Their gnarled branches, stripped of leaves and bathed in moonlight, appeared almost to weep with a silent sorrow. Each tremor in the night air was as if the forest itself sighed in resignation, bearing witness to the loss of seasons past. _____","This depiction reduces nature to a simple backdrop devoid of any emotional resonance.,By endowing the trees with human qualities. The passage deepens the emotional landscape - suggesting that nature itself grieves and endures alongside humanity.,The description implies that the trees' silence is indicative of a complete absence of feeling or memory.,The passage uses literal descriptions of weather to merely document a seasonal change without any symbolic significance.","2","","This question requires you to fill in the blank with the most appropriate sentence."
"english","In a bustling metropolis famed for its technological marvels and forward-thinking innovations, the central square was dominated by a massive digital clock that never ceased its ticking. Yet, despite the precision of its mechanized heart, the citizens found themselves increasingly disoriented in a world where time seemed both abundant and fleeting. The irony of relying on a device designed to order life, while life itself spun wildly out of control, was not lost on those who dwelled in its shadow. _____'","This observation underscores the irony that although technology promises control. It often exacerbates the very chaos it seeks to regulate.,The passage argues that technology has finally mastered the art of predicting human behavior with absolute certainty.,The description minimizes the role of the digital clock portraying it as a mere ornament with no deeper meaning.,It concludes that the digital clock is the only reliable measure of time in an otherwise unpredictable world.","1","","This question requires you to fill in the blank with the most appropriate sentence."
"english","Walking along the deserted shoreline at dawn, the poet found solace in the rhythmic lapping of waves against the weathered rocks. Each surge of the tide, imbued with the memory of distant storms and whispered farewells, evoked a profound sense of renewal and loss. In that quiet moment, the sea emerged as a vast repository of both sorrow and hope—a mirror reflecting the complexities of the soul. _____'","The passage treats the sea as a mere physical phenomenon. Neglecting its potential to convey deeper emotional truths.,By symbolizing the sea as a dual repository of grief and rejuvenation. The narrative invites readers to explore the interconnectedness of despair and hope.,The description relegates the sea to a literal role. Ignoring its capacity to serve as a metaphor for internal transformation.,It asserts that the sea. While beautiful - holds no particular significance beyond its natural function.","2","","This question requires you to fill in the blank with the most appropriate sentence."
"english","In her quiet defiance, the protagonist was a living paradox—a gentle force of nature whose soft words carried the weight of unyielding conviction. Her presence evoked both the calm of a placid lake and the storm of a raging tempest, leaving those around her both comforted and unsettled. This duality was not presented as a flaw, but rather as the essence of her strength. _____","The narrative dismisses her contradictions as mere eccentricities without any deeper insight.,By embracing the oxymoronic nature of her character, Celebrating the complexity of human strength and vulnerability.,It portrays her as a one-dimensional figure lacking the subtle interplay of opposites that makes her truly compelling.,","2","","This question requires you to fill in the blank with the most appropriate sentence."
"english","In the aftermath of the long-forgotten war, the poet recalled a day when the skies themselves seemed to weep and the earth shuddered with a sorrow too vast for words. The intensity of the collective grief was described in terms so exaggerated that even the natural world appeared to mourn in unison. In that sweeping portrayal of loss, the poet declared, _____.","that the exaggerations served only to obscure the true understated emotions of the people.,that every falling leaf and every raindrop bore the burden of a thousand unspoken laments. Capturing the ineffable magnitude of human despair.,that nature remained indifferent. Unaffected by the trivial sorrows of mankind.,that hyperbole diminished the real impact of the loss, reducing it to mere poetic embellishment.","2","","This question requires you to fill in the blank with the most appropriate sentence."
"art","According to Plato's critique, how does art as mere imitation affect the soul's pursuit of truth and knowledge by presenting only a shadow of reality?","Art. As mere imitation diverts the soul from attaining truth by presenting a shadow of reality.,Art is the highest form of knowledge as it reveals the immutable forms behind sensory appearances.,Art merely reflects nature and therefore offers a direct pathway to moral enlightenment.,Art serves no epistemological purpose and is valuable only for its entertainment.","1","",""
"art","How does Aristotle describe the dual function of art in representing reality while simultaneously evoking emotional catharsis and healing?","Art solely replicates nature without influencing the viewer's emotions.,Art arouses strong feelings and then purges them. Providing a form of emotional healing while reflecting the complexities of life.,Art's purpose is to deliver rational insights without engaging emotional faculties.,Art's cathartic role is secondary to its intellectual imitation of nature.","2","",""
"art","According to Kant, in what way can aesthetic judgments be seen as subjective yet claim universal validity due to their disinterested nature?","Aesthetic judgments are entirely personal and cannot be universally communicated.,Despite being rooted in personal feeling. Acsthetic judgments are presented as universally valid because they are free from practical interest.,Aesthetic judgments are strictly objective based on measurable properties of art.,Aesthetic judgments are arbitrary. Having no connection to universal standards.","2","",""
"art","How does Hegel characterize art's role in the evolution of the absolute spirit, particularly in reflecting historical progress and deeper truths?","Art is an isolated activity. Unaffected by the currents of historical change.,Art's evolution mirrors the unfolding of the absolute spirit. Revealing deeper truths as history progresses.,Art's purpose is confined to personal expression with no relation to historical development.,Art remains static while philosophy and religion evolve to capture historical change.","2","",""
"art","Within the discourse on the sublime, which philosopher is most famously associated with emphasizing nature's overwhelming power and the limits of human understanding?","David Humem,Edmund Burke,Søren Kierkegaard,Jean-Paul Sartre","2","",""
"art","According to Baudrillard, how do simulacra disrupt the connection between reality and its representation, thereby detaching art from any original referent?","Simulacra reinforce the connection to an original truth. Deepening our understanding of art.,Simulacra dissolve the boundary between reality and its representation. Rendering art detached from any original referent.,Simulacra are a minor concern in modern art. Remaining grounded in authentic experiences.,Simulacra confirm the timeless value of traditional art by mimicking historical forms.","2","",""
"art","How does the view that art is inherently political express its potential to reflect and challenge societal norms, thereby instigating social change?","Art must remain apolitical to safeguard its aesthetic purity and avoid ideological bias.,Art. By reflecting and challenging societal norms - inherently carries a political charge that can instigate social change.,Art's primary role is aesthetic enjoyment with political implications being entirely incidental.,Art's political dimension is a modern construct that undermines its traditional focus on beauty.","2","",""
"art","What is the core argument behind aesthetic autonomy in art, which defends the idea that its intrinsic value lies in form, beauty, and expressive content independent of external utility?","Aesthetic autonomy is untenable since art must invariably serve social and political functions.,Aesthetic autonomy preserves art's integrity by asserting that its value lies in form. Beauty. Expressive content independent of external utility.,Aesthetic autonomy is a limited notion that ignores the commercial dimensions of art.,Aesthetic autonomy restricts art to an elitist domain. Diminishing its accessibility to the public.","2","",""
"art","How is the debate between formalism and contextualism best characterized in terms of focusing on technical aspects versus historical, social, and political dimensions of artistic creation?","Formalism focuses exclusively on technical aspects of art whereas contextualism prioritizes the historical. Social. And political dimensions of artistic creation.,Formalism and contextualism both assert that only the visual aspects of art matter. Ignoring cultural influences.,Formalism rejects beauty in art while contextualism values only the artist's personal biography.,Formalism is concerned with art's social impact whereas contextualism is limited to its formal qualities.","1","",""
"art","How should one approach interpreting abstract art that features dissonant color schemes and irregular forms in order to uncover its deeper symbolic or emotional meaning?","A formal analysis focusing solely on the balance of lines and colors.,A psychoanalytic interpretation that reads the dissonance and irregular forms as expressions of the artist's subconscious conflicts.,A historical analysis centered exclusively on the artist's biography.,An iconographic analysis that attributes specific religious symbols to every form.","2","",""
"art","What is the likely artistic intention behind a minimalist sculpture that employs industrial materials and a sparse form, focusing on the intrinsic qualities of the material and space?","To evoke intense emotional complexity through elaborate detail.,To strip away superfluous elements and direct attention to the intrinsic qualities of material and space.,To create an overt narrative rich in symbolism and allegory.,To mimic natural forms with a hyper-realistic precision.","2","",""
"art","How does post-impressionist innovation challenge traditional artistic representations through the use of bold brushstrokes and vivid, non-naturalistic colors to express inner emotions?","A formalist analysis that highlights the deliberate departure from naturalism to convey the artist's inner emotional landscape.,A strict realist critique that focuses solely on technical precision.,An iconoclastic reading that dismisses emotional content as irrelevant.,A socio-political critique that ignores formal elements in favor of the artist's political views.","1","",""
"art","In what way does performance art challenge conventional artistic boundaries by engaging in ritualistic actions, and which interpretive approach best captures its symbolic commentary on cultural norms?","A biographical critique focusing exclusively on the performer's personal history.,A semiotic analysis that decodes the symbols and rituals to reveal the work's commentary on cultural norms.,A traditional art historical analysis that prioritizes static visual aesthetics.,A dismissal of the work due to its lack of a conventional tangible product.","2","",""
"art","How can a large-scale mural that depicts a layered narrative of cultural identity and historical memory be effectively analyzed to reveal its multifaceted socio-political and aesthetic content?","A technical analysis that focuses only on brushwork and color without considering context.,A comparative analysis situating the mural within broader socio-political discourses and cultural traditions.,A literal interpretation that takes every depicted element at face value.,A purely aesthetic judgment that values only the vibrancy of the color palette.","2","",""
"art","How does an interactive digital art installation featuring algorithmically generated visuals redefine traditional art forms and challenge conventional notions of authorship and creativity?","A formalist approach that dismisses interactivity as irrelevant to artistic value.,A contextual analysis that examines how digital technology transforms traditional art forms and challenges notions of authorship.,A materialist reading focused exclusively on physical artifacts. Ignoring the digital medium.,An interpretation that reduces interactivity to a mere ephemeral trend.","2","",""
"art","What analytical perspective best captures the critique of established art institutions in a conceptual art piece that rearranges everyday objects to question cultural norms and institutional assumptions?","A strict formal analysis that examines composition and color without addressing context.,A critical theory approach that interrogates cultural and institutional assumptions underlying art production.,An aesthetic evaluation based solely on the visual appeal of the arrangement.,A historical comparison to classical art that overlooks contemporary institutional issues.","2","",""
"art","How does a landscape painting utilize dramatic lighting and atmospheric perspective to evoke deep emotional states and convey themes of nostalgia and impermanence?","A technical analysis that focuses exclusively on brushwork and formal composition.,An affective reading that considers how the interplay of light and space communicates deep emotional states.,A symbolic interpretation that reduces the painting's nuances to clichéd tropes.,An iconographic reading focused solely on mythological references.","2","",""
"art","In what way does a mixed-media collage that juxtaposes found objects with abstract forms challenge traditional artistic boundaries, and how can its layered meanings be best interpreted?","A reductionist view that ignores the cultural significance of the found objects.,A multifaceted analysis that integrates considerations of materiality. Context and symbolism to interpret the work.,A purely aesthetic evaluation that dismisses any contextual or historical influences.,A technical assessment concentrating only on the construction methods employed in the collage.","2","",""
"music","Which of the following best describes the harmonic function of the Neapolitan chord in a minor key?","It functions as a predominant. Often replacing the IV chord.,It functions as a dominant substitute in cadences.,It functions as a tonic substitute.,It functions as an authentic cadence in minor.","1","",""
"music","When modulating from C major to A major, which of the following techniques is most commonly employed?","Pivot chord modulation using a common chord.,Direct modulation via a common tone.,Modal interchange using the parallel minor.,Chromatic modulation through shared diminished seventh chords.","1","",""
